instances\map1\map1_10_165.txt,260,
instances\map1\map1_10_166.txt,340,
instances\map1\map1_10_167.txt,99999,
instances\map1\map1_10_168.txt,340,
instances\map1\map1_10_169.txt,320,
instances\map1\map1_10_17.txt,340,
instances\map1\map1_10_170.txt,99999,
instances\map1\map1_10_171.txt,280,
instances\map1\map1_10_172.txt,99999,
instances\map1\map1_10_173.txt,350,
instances\map1\map1_10_174.txt,280,
instances\map1\map1_10_175.txt,280,
instances\map1\map1_10_176.txt,300,
instances\map1\map1_10_177.txt,350,
instances\map1\map1_10_178.txt,260,
instances\map1\map1_10_179.txt,340,
instances\map1\map1_10_18.txt,280,
instances\map1\map1_10_180.txt,400,
instances\map1\map1_10_181.txt,300,
instances\map1\map1_10_182.txt,420,
instances\map1\map1_10_183.txt,290,
instances\map1\map1_10_184.txt,280,
instances\map1\map1_10_185.txt,280,
instances\map1\map1_10_186.txt,320,
instances\map1\map1_10_187.txt,330,
instances\map1\map1_10_188.txt,340,
instances\map1\map1_10_189.txt,300,
instances\map1\map1_10_19.txt,270,
instances\map1\map1_10_190.txt,300,
instances\map1\map1_10_191.txt,260,
instances\map1\map1_10_192.txt,280,
instances\map1\map1_10_193.txt,280,
instances\map1\map1_10_194.txt,320,
instances\map1\map1_10_195.txt,280,
instances\map1\map1_10_196.txt,290,
instances\map1\map1_10_197.txt,280,
instances\map1\map1_10_198.txt,99999,
instances\map1\map1_10_199.txt,320,
instances\map1\map1_10_2.txt,320,
instances\map1\map1_10_20.txt,320,
instances\map1\map1_10_200.txt,280,
instances\map1\map1_10_201.txt,280,
instances\map1\map1_10_202.txt,540,
instances\map1\map1_10_203.txt,300,
instances\map1\map1_10_204.txt,310,
instances\map1\map1_10_205.txt,99999,
instances\map1\map1_10_206.txt,300,
instances\map1\map1_10_207.txt,310,
instances\map1\map1_10_208.txt,310,
instances\map1\map1_10_209.txt,240,
instances\map1\map1_10_21.txt,380,
instances\map1\map1_10_210.txt,99999,
instances\map1\map1_10_211.txt,280,
instances\map1\map1_10_212.txt,330,
instances\map1\map1_10_213.txt,270,
instances\map1\map1_10_214.txt,290,
instances\map1\map1_10_215.txt,270,
instances\map1\map1_10_216.txt,270,
instances\map1\map1_10_217.txt,280,
instances\map1\map1_10_218.txt,300,
instances\map1\map1_10_219.txt,330,
instances\map1\map1_10_22.txt,310,
instances\map1\map1_10_220.txt,320,
instances\map1\map1_10_221.txt,550,
instances\map1\map1_10_222.txt,260,
instances\map1\map1_10_223.txt,340,
instances\map1\map1_10_224.txt,310,
instances\map1\map1_10_225.txt,300,
instances\map1\map1_10_226.txt,330,
instances\map1\map1_10_227.txt,430,
instances\map1\map1_10_228.txt,300,
instances\map1\map1_10_229.txt,400,
instances\map1\map1_10_23.txt,99999,
instances\map1\map1_10_230.txt,290,
instances\map1\map1_10_231.txt,270,
instances\map1\map1_10_232.txt,370,
instances\map1\map1_10_233.txt,320,
instances\map1\map1_10_234.txt,300,
instances\map1\map1_10_235.txt,470,
instances\map1\map1_10_236.txt,340,
instances\map1\map1_10_237.txt,290,
instances\map1\map1_10_238.txt,300,
instances\map1\map1_10_239.txt,310,
instances\map1\map1_10_24.txt,280,
instances\map1\map1_10_240.txt,320,
instances\map1\map1_10_241.txt,260,
instances\map1\map1_10_242.txt,290,
