map_id,trip durations,trip lengths,runtime
instances\experiment\map1_10_280.txt,380,264,0.0215396
instances\experiment\map1_10_281.txt,310,243,0.0180609
instances\experiment\map1_10_282.txt,290,257,0.0151042
instances\experiment\map1_10_283.txt,260,232,0.0233201
instances\experiment\map1_10_284.txt,260,237,0.0170305
instances\experiment\map1_10_285.txt,280,247,0.0155064
instances\experiment\map1_10_286.txt,360,263,0.0260369
instances\experiment\map1_10_287.txt,290,243,0.0235569
instances\experiment\map1_10_288.txt,290,257,0.016752
instances\experiment\map1_10_289.txt,340,260,0.0193206
instances\experiment\map1_10_29.txt,999999,999999,999999
instances\experiment\map1_10_290.txt,290,245,0.0167271
instances\experiment\map1_10_291.txt,360,248,0.0218064
instances\experiment\map1_10_292.txt,570,281,0.0199001
instances\experiment\map1_10_293.txt,260,234,0.0190942
instances\experiment\map1_10_294.txt,250,232,0.017686
instances\experiment\map1_10_295.txt,310,255,0.0177242
instances\experiment\map1_10_296.txt,320,256,0.0170847
instances\experiment\map1_10_297.txt,310,257,0.0215748
instances\experiment\map1_10_298.txt,999999,999999,999999
instances\experiment\map1_10_299.txt,320,239,0.0173962
instances\experiment\map1_10_3.txt,320,240,0.01572
instances\experiment\map1_10_30.txt,260,235,0.0140981
instances\experiment\map1_10_300.txt,300,250,0.0150976
instances\experiment\map1_10_301.txt,300,249,0.0292903
instances\experiment\map1_10_302.txt,310,252,0.0318762
instances\experiment\map1_10_303.txt,280,237,0.0229715
instances\experiment\map1_10_304.txt,350,255,0.0230393
instances\experiment\map1_10_305.txt,280,235,0.0150468
instances\experiment\map1_10_306.txt,250,225,0.0131272
instances\experiment\map1_10_307.txt,330,256,0.0178246
instances\experiment\map1_10_308.txt,360,271,0.0174688
instances\experiment\map1_10_309.txt,380,248,0.0185373
instances\experiment\map1_10_31.txt,310,257,0.01707
instances\experiment\map1_10_310.txt,310,251,0.0151011
instances\experiment\map1_10_311.txt,270,241,0.015402
instances\experiment\map1_10_312.txt,460,271,0.0165256
instances\experiment\map1_10_313.txt,290,237,0.0139041
instances\experiment\map1_10_314.txt,300,234,0.0161767
instances\experiment\map1_10_315.txt,310,253,0.0161506
instances\experiment\map1_10_316.txt,290,249,0.016803
instances\experiment\map1_10_317.txt,290,241,0.0134007
instances\experiment\map1_10_318.txt,280,235,0.0135817
instances\experiment\map1_10_319.txt,400,249,0.0189886
instances\experiment\map1_10_32.txt,410,290,0.0190372
instances\experiment\map1_10_320.txt,320,252,0.0191587
instances\experiment\map1_10_321.txt,310,244,0.014644
instances\experiment\map1_10_322.txt,300,254,0.0210517
instances\experiment\map1_10_323.txt,600,328,0.0290255
instances\experiment\map1_10_324.txt,260,230,0.0184563
instances\experiment\map1_10_325.txt,290,242,0.0189982
instances\experiment\map1_10_326.txt,240,220,0.0176713
instances\experiment\map1_10_327.txt,420,287,0.0201814
instances\experiment\map1_10_328.txt,260,227,0.0126141
instances\experiment\map1_10_329.txt,260,228,0.0134172
instances\experiment\map1_10_33.txt,340,261,0.0261507
instances\experiment\map1_10_330.txt,280,238,0.0175817
instances\experiment\map1_10_331.txt,310,259,0.0163214
instances\experiment\map1_10_332.txt,280,234,0.0176615
instances\experiment\map1_10_333.txt,1040,402,0.0309107
instances\experiment\map1_10_334.txt,520,310,0.0219996
instances\experiment\map1_10_335.txt,260,226,0.0153083
instances\experiment\map1_10_336.txt,260,231,0.0217253
instances\experiment\map1_10_337.txt,270,239,0.0139983
instances\experiment\map1_10_338.txt,320,274,0.0213053
instances\experiment\map1_10_339.txt,280,245,0.0138875
instances\experiment\map1_10_34.txt,999999,999999,999999
instances\experiment\map1_10_340.txt,320,246,0.0142328
instances\experiment\map1_10_341.txt,300,253,0.0138286
instances\experiment\map1_10_342.txt,320,253,0.0157636
instances\experiment\map1_10_343.txt,380,258,0.0192102
instances\experiment\map1_10_344.txt,360,262,0.0181518
instances\experiment\map1_10_345.txt,400,267,0.0154041
instances\experiment\map1_10_346.txt,360,281,0.0251437
instances\experiment\map1_10_347.txt,440,307,0.0177784
instances\experiment\map1_10_348.txt,330,253,0.0192469
instances\experiment\map1_10_349.txt,390,282,0.0150788
instances\experiment\map1_10_35.txt,300,248,0.0118329
instances\experiment\map1_10_36.txt,670,345,0.0169402
instances\experiment\map1_10_37.txt,280,249,0.0127597
instances\experiment\map1_10_38.txt,300,255,0.0132681
instances\experiment\map1_10_39.txt,300,251,0.0107184
instances\experiment\map1_10_4.txt,290,231,0.0113827
instances\experiment\map1_10_40.txt,290,255,0.0119734
instances\experiment\map1_10_41.txt,310,246,0.0140947
instances\experiment\map1_10_42.txt,260,232,0.0127167
instances\experiment\map1_10_43.txt,290,234,0.0128052
instances\experiment\map1_10_44.txt,260,217,0.0105533
instances\experiment\map1_10_45.txt,310,240,0.0131152
instances\experiment\map1_10_46.txt,280,242,0.0132544
instances\experiment\map1_10_47.txt,280,238,0.0111407
instances\experiment\map1_10_48.txt,310,246,0.035002
instances\experiment\map1_10_49.txt,290,250,0.0300146
instances\experiment\map1_10_5.txt,280,257,0.0104564
instances\experiment\map1_10_50.txt,510,312,0.0161608
instances\experiment\map1_10_51.txt,290,242,0.0126757
instances\experiment\map1_10_52.txt,280,234,0.0151423
instances\experiment\map1_10_53.txt,300,229,0.0104949
instances\experiment\map1_10_54.txt,300,260,0.0155059
instances\experiment\map1_10_55.txt,290,236,0.0136948
instances\experiment\map1_10_56.txt,300,232,0.0105037
instances\experiment\map1_10_57.txt,270,235,0.0081756
instances\experiment\map1_10_58.txt,340,250,0.0123651
instances\experiment\map1_10_59.txt,290,248,0.0123676
instances\experiment\map1_10_6.txt,370,257,0.0119548
instances\experiment\map1_10_60.txt,280,236,0.008852
instances\experiment\map1_10_61.txt,320,242,0.010813
instances\experiment\map1_10_62.txt,260,227,0.0081636
instances\experiment\map1_10_63.txt,300,252,0.0110678
instances\experiment\map1_10_64.txt,540,289,0.0142023
instances\experiment\map1_10_65.txt,300,245,0.0129511
instances\experiment\map1_10_66.txt,260,232,0.0115846
instances\experiment\map1_10_67.txt,270,244,0.0111047
instances\experiment\map1_10_68.txt,260,236,0.009085
instances\experiment\map1_10_69.txt,320,250,0.0120962
instances\experiment\map1_10_7.txt,280,233,0.0151846
instances\experiment\map1_10_70.txt,300,244,0.008882
instances\experiment\map1_10_71.txt,300,252,0.0101864
instances\experiment\map1_10_72.txt,350,260,0.0103753
instances\experiment\map1_10_73.txt,270,227,0.0095828
instances\experiment\map1_10_74.txt,250,223,0.0092582
instances\experiment\map1_10_75.txt,290,247,0.018961
instances\experiment\map1_10_76.txt,330,253,0.0249192
instances\experiment\map1_10_77.txt,740,344,0.0152027
instances\experiment\map1_10_78.txt,270,225,0.009199
instances\experiment\map1_10_79.txt,420,277,0.0318976
instances\experiment\map1_10_8.txt,350,245,0.0345445
instances\experiment\map1_10_80.txt,420,262,0.0318074
instances\experiment\map1_10_81.txt,380,279,0.0137711
