map_id,trip durations,trip lengths,runtime[s],duration/len(a*)
instances\experiment2_cbs2\map1_10_1103.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1104.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1105.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1106.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1107.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1108.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1109.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1110.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1111.txt,229,228,0.3011123,1.0-1.0-1.0-1.0476190476190477-1.0-1.0-1.0-1.0-1.0-1.0476190476190477
instances\experiment2_cbs2\map1_10_1112.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1113.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1114.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1115.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1116.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1117.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1118.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1119.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1120.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1121.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1122.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1123.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1124.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1125.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1126.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1127.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1128.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1129.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1130.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1131.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1132.txt,234,233,0.0261779,1.0-1.0-1.0-1.0-1.0-1.0-1.0476190476190477-1.0-1.0-1.0
instances\experiment2_cbs2\map1_10_1133.txt,999999,999999,999999,999999
