map_id,trip durations,trip lengths,runtime[s],duration/len(a*)
instances\experiment2_prio\map1_10_1134.txt,235,235,0.0436963,1.0-1.0-1.0-1.0869565217391304-1.0-1.0833333333333333-1.0909090909090908-1.0-1.0-1.0
instances\experiment2_prio\map1_10_1135.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1136.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1137.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1138.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1139.txt,239,238,0.0856698,1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0384615384615385-1.0-1.0
instances\experiment2_prio\map1_10_1140.txt,241,239,0.0635541,1.0-1.0434782608695652-1.0-1.173913043478261-1.0-1.0476190476190477-1.037037037037037-1.0-1.0-1.0909090909090908
instances\experiment2_prio\map1_10_1141.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1142.txt,247,241,0.0916893,1.0-1.0-1.0-1.0-1.0909090909090908-1.0-1.1363636363636365-1.0-1.08-1.0952380952380953
instances\experiment2_prio\map1_10_1143.txt,235,233,0.0456739,1.05-1.0-1.0-1.0-1.0-1.0-1.0-1.0476190476190477-1.0-1.0416666666666667
instances\experiment2_prio\map1_10_1144.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1145.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1146.txt,241,237,0.0822451,1.0-1.0416666666666667-1.0-1.0-1.0869565217391304-1.04-1.0-1.0-1.0384615384615385-1.0
instances\experiment2_prio\map1_10_1147.txt,242,237,0.0470938,1.0-1.0-1.0-1.0-1.0-1.0476190476190477-1.0-1.1363636363636365-1.12-1.0909090909090908
instances\experiment2_prio\map1_10_1148.txt,240,239,0.0757153,1.0-1.0-1.0-1.0476190476190477-1.0-1.0-1.0869565217391304-1.0-1.0384615384615385-1.1904761904761905
instances\experiment2_prio\map1_10_1149.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1150.txt,238,235,0.0478572,1.0-1.0-1.0-1.0-1.0-1.0-1.037037037037037-1.0-1.0384615384615385-1.0952380952380953
instances\experiment2_prio\map1_10_1151.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1152.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1153.txt,242,236,0.0390443,1.0-1.0-1.0-1.0-1.0909090909090908-1.0-1.04-1.0434782608695652-1.0434782608695652-1.0714285714285714
instances\experiment2_prio\map1_10_1154.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1155.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1156.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1157.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1158.txt,247,244,0.0659811,1.0-1.0-1.0-1.0-1.0476190476190477-1.0-1.0-1.1428571428571428-1.0-1.1153846153846154
instances\experiment2_prio\map1_10_1159.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1160.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1161.txt,241,236,0.0729265,1.0-1.0-1.0-1.0-1.0476190476190477-1.0-1.0357142857142858-1.0-1.0833333333333333-1.0769230769230769
instances\experiment2_prio\map1_10_1162.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1163.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1164.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1165.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1166.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1167.txt,239,237,0.0474411,1.0-1.0-1.0-1.0-1.0-1.037037037037037-1.0-1.1904761904761905-1.0-1.0
instances\experiment2_prio\map1_10_1168.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1169.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1170.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1171.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1172.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1173.txt,260,253,0.0853193,1.0-1.0-1.04-1.0869565217391304-1.1363636363636365-1.0-1.0952380952380953-1.12-1.0769230769230769-1.125
instances\experiment2_prio\map1_10_1174.txt,238,236,0.0765546,1.0-1.0-1.0454545454545454-1.0-1.0-1.0434782608695652-1.0-1.0833333333333333-1.0-1.0833333333333333
instances\experiment2_prio\map1_10_1175.txt,238,234,0.0649694,1.0-1.0-1.0-1.0434782608695652-1.0952380952380953-1.0-1.0-1.0869565217391304-1.0-1.0416666666666667
instances\experiment2_prio\map1_10_1176.txt,239,237,0.1358674,1.0-1.0-1.0-1.0454545454545454-1.0-1.0-1.0-1.0-1.08-1.0
instances\experiment2_prio\map1_10_1177.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1178.txt,234,231,0.0757687,1.0-1.0-1.0-1.0833333333333333-1.0-1.0-1.0-1.0-1.1904761904761905-1.1304347826086956
instances\experiment2_prio\map1_10_1179.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1180.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1181.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1182.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1183.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1184.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1185.txt,999999,999999,999999,999999
instances\experiment2_prio\map1_10_1186.txt,234,230,0.0223655,1.0-1.0-1.0-1.0454545454545454-1.0-1.0-1.08-1.0-1.0-1.0909090909090908
instances\experiment2_prio\map1_10_1187.txt,235,231,0.0803064,1.0-1.0-1.0-1.04-1.0454545454545454-1.0-1.0869565217391304-1.0-1.0-1.0
